hpo_id	hpo_name	ncbi_gene_id	gene_symbol	disease_id
HP:0000007	Autosomal recessive inheritance	1770	DNAH9	OMIM:618300
HP:0000007	Autosomal recessive inheritance	29775	CARD10	OMIM:619632
HP:0000007	Autosomal recessive inheritance	55621	TRMT1	OMIM:618302
HP:0000007	Autosomal recessive inheritance	6905	TBCE	OMIM:241410
HP:0000007	Autosomal recessive inheritance	6905	TBCE	OMIM:244460
HP:0000007	Autosomal recessive inheritance	6905	TBCE	OMIM:617207
HP:0000007	Autosomal recessive inheritance	3982	LIM2	OMIM:615277
HP:0000007	Autosomal recessive inheritance	5593	PRKG2	OMIM:619638
HP:0000007	Autosomal recessive inheritance	5593	PRKG2	OMIM:619636
HP:0000007	Autosomal recessive inheritance	399	RHOH	OMIM:618307
HP:0000007	Autosomal recessive inheritance	9354	UBE4A	OMIM:619639
HP:0000007	Autosomal recessive inheritance	3574	IL7	OMIM:618309
HP:0000007	Autosomal recessive inheritance	55823	VPS11	OMIM:619637
HP:0000007	Autosomal recessive inheritance	55823	VPS11	OMIM:616683
HP:0000007	Autosomal recessive inheritance	6606	SMN1	OMIM:253400
HP:0000007	Autosomal recessive inheritance	6606	SMN1	OMIM:253300
HP:0000007	Autosomal recessive inheritance	6606	SMN1	OMIM:271150
HP:0000007	Autosomal recessive inheritance	6606	SMN1	OMIM:253550
HP:0000007	Autosomal recessive inheritance	6607	SMN2	OMIM:253400
HP:0000007	Autosomal recessive inheritance	3507	IGHM	OMIM:601495
HP:0000007	Autosomal recessive inheritance	54828	BCAS3	OMIM:619641
HP:0000007	Autosomal recessive inheritance	6305	SBF1	OMIM:615284
HP:0000007	Autosomal recessive inheritance	1615	DARS1	OMIM:615281
HP:0000007	Autosomal recessive inheritance	431705	ASTL	OMIM:619643
HP:0000007	Autosomal recessive inheritance	57169	ZNFX1	OMIM:619644
HP:0000007	Autosomal recessive inheritance	11041	B4GAT1	OMIM:615287
HP:0000007	Autosomal recessive inheritance	11311	VPS45	OMIM:615285
HP:0000007	Autosomal recessive inheritance	113179	ADAT3	OMIM:615286
HP:0000007	Autosomal recessive inheritance	145645	TERB2	OMIM:619645
HP:0000007	Autosomal recessive inheritance	283847	TERB1	OMIM:619646
HP:0000007	Autosomal recessive inheritance	111	ADCY5	OMIM:619647
HP:0000007	Autosomal recessive inheritance	111	ADCY5	OMIM:619651
HP:0000007	Autosomal recessive inheritance	9772	TMEM94	OMIM:618316
HP:0000007	Autosomal recessive inheritance	79971	WLS	OMIM:619648
HP:0000007	Autosomal recessive inheritance	57462	MYORG	OMIM:618317
HP:0000007	Autosomal recessive inheritance	29958	DMGDH	OMIM:605850
HP:0000007	Autosomal recessive inheritance	56652	TWNK	OMIM:271245
HP:0000007	Autosomal recessive inheritance	56652	TWNK	OMIM:607459
HP:0000007	Autosomal recessive inheritance	56652	TWNK	OMIM:616138
HP:0000007	Autosomal recessive inheritance	3373	HYAL1	OMIM:601492
HP:0000007	Autosomal recessive inheritance	1491	CTH	OMIM:219500
HP:0000007	Autosomal recessive inheritance	92749	DRC1	OMIM:615294
HP:0000007	Autosomal recessive inheritance	92749	DRC1	OMIM:620222
HP:0000007	Autosomal recessive inheritance	55739	NAXD	OMIM:618321
HP:0000007	Autosomal recessive inheritance	5966	REL	OMIM:619652
HP:0000007	Autosomal recessive inheritance	7143	TNR	OMIM:619653
HP:0000007	Autosomal recessive inheritance	6843	VAMP1	OMIM:618323
HP:0000007	Autosomal recessive inheritance	197258	FCSK	OMIM:618324
HP:0000007	Autosomal recessive inheritance	2694	CBLIF	OMIM:261000
HP:0000007	Autosomal recessive inheritance	285203	EOGT	OMIM:615297
HP:0000007	Autosomal recessive inheritance	125988	MICOS13	OMIM:618329
HP:0000007	Autosomal recessive inheritance	84168	ANTXR1	OMIM:230740
HP:0000007	Autosomal recessive inheritance	4087	SMAD2	OMIM:619657
HP:0000007	Autosomal recessive inheritance	54532	USP53	OMIM:619658
HP:0000007	Autosomal recessive inheritance	2744	GLS	OMIM:618328
HP:0000007	Autosomal recessive inheritance	2744	GLS	OMIM:618412
HP:0000007	Autosomal recessive inheritance	84100	ARL6	OMIM:600151
HP:0000007	Autosomal recessive inheritance	84100	ARL6	OMIM:268000
HP:0000007	Autosomal recessive inheritance	84100	ARL6	OMIM:209900
HP:0000007	Autosomal recessive inheritance	84100	ARL6	OMIM:613575
HP:0000007	Autosomal recessive inheritance	5654	HTRA1	OMIM:600142
HP:0000007	Autosomal recessive inheritance	2055	CLN8	OMIM:600143
HP:0000007	Autosomal recessive inheritance	2055	CLN8	OMIM:610003
HP:0000007	Autosomal recessive inheritance	23514	SPIDR	OMIM:619665
HP:0000007	Autosomal recessive inheritance	54101	RIPK4	OMIM:263650
HP:0000007	Autosomal recessive inheritance	54101	RIPK4	OMIM:214350
HP:0000007	Autosomal recessive inheritance	51693	TRAPPC2L	OMIM:618331
HP:0000007	Autosomal recessive inheritance	113220	KIF12	OMIM:619662
HP:0000007	Autosomal recessive inheritance	120	ADD3	OMIM:617008
HP:0000007	Autosomal recessive inheritance	7535	ZAP70	OMIM:617006
HP:0000007	Autosomal recessive inheritance	7535	ZAP70	OMIM:269840
HP:0000007	Autosomal recessive inheritance	5426	POLE	OMIM:618336
HP:0000007	Autosomal recessive inheritance	5426	POLE	OMIM:615139
HP:0000007	Autosomal recessive inheritance	7273	TTN	OMIM:611705
HP:0000007	Autosomal recessive inheritance	7273	TTN	OMIM:608807
HP:0000007	Autosomal recessive inheritance	64132	XYLT2	OMIM:605822
HP:0000007	Autosomal recessive inheritance	64132	XYLT2	OMIM:264800
HP:0000007	Autosomal recessive inheritance	2074	ERCC6	OMIM:133540
HP:0000007	Autosomal recessive inheritance	2074	ERCC6	OMIM:278800
HP:0000007	Autosomal recessive inheritance	2074	ERCC6	OMIM:600630
HP:0000007	Autosomal recessive inheritance	2074	ERCC6	OMIM:214150
HP:0000007	Autosomal recessive inheritance	7287	TULP1	OMIM:600132
HP:0000007	Autosomal recessive inheritance	7287	TULP1	OMIM:613843
HP:0000007	Autosomal recessive inheritance	10020	GNE	OMIM:605820
